open_code_id,open_code_label,axial_category,selective_theme,description,keywords_json
OC001,Kedaulatan pangan dan swasembada,Ketahanan nasional dan kedaulatan strategis,Kedaulatan dan kemandirian nasional,"Mengacu pada narasi kemandirian pangan, produksi beras, petani, dan swasembada.","[""swasembada"", ""pangan"", ""beras"", ""jagung"", ""petani"", ""pertanian"", ""food"", ""rice"", ""grain"", ""farmer"", ""farmers"", ""self-sufficient"", ""sufficiency""]"
OC002,Kedaulatan energi dan pengelolaan sumber daya,Ketahanan nasional dan kedaulatan strategis,Kedaulatan dan kemandirian nasional,"Mengacu pada kemandirian energi, Pertamina, BBM, energi terbarukan, dan pengelolaan sumber daya.","[""energi"", ""pertamina"", ""biodiesel"", ""solar"", ""bbm"", ""esdm"", ""kilang"", ""energy"", ""fuel"", ""oil"", ""gas"", ""renewable"", ""renewables"", ""refinery""]"
OC003,Pemerataan kesejahteraan dan pengentasan kemiskinan,Kesejahteraan sosial dan pemerataan pembangunan,Pembangunan manusia dan keadilan sosial,Mengacu pada upaya peningkatan kesejahteraan rakyat dan pengurangan kemiskinan.,"[""kemiskinan"", ""miskin"", ""kesejahteraan"", ""rakyat"", ""kelaparan"", ""poverty"", ""poor"", ""hunger"", ""livelihood"", ""livelihoods"", ""weak"", ""weakest""]"
OC004,Pendidikan dan mobilitas sosial,Pembangunan sumber daya manusia,Pembangunan manusia dan keadilan sosial,"Mengacu pada pendidikan, sekolah rakyat, guru, siswa, dan peluang mobilitas sosial.","[""sekolah"", ""pendidikan"", ""murid"", ""guru"", ""kampus"", ""universitas"", ""education"", ""school"", ""schools"", ""students"", ""teachers"", ""university"", ""universities""]"
OC005,"Kesehatan, gizi, dan perlindungan sosial",Pembangunan sumber daya manusia,Pembangunan manusia dan keadilan sosial,"Mengacu pada program makan bergizi, kesehatan, anak, ibu hamil, dan lansia.","[""makan bergizi"", ""mbg"", ""gizi"", ""kesehatan"", ""anak"", ""ibu hamil"", ""lansia"", ""meals"", ""nutrition"", ""nutritious"", ""medical"", ""health"", ""children"", ""pregnant"", ""elderly""]"
OC006,Anti-korupsi dan penegakan hukum,Tata kelola pemerintahan dan rule of law,Reformasi tata kelola dan penegakan hukum,"Mengacu pada pemberantasan korupsi, penyitaan aset ilegal, dan penegakan hukum.","[""korupsi"", ""hukum"", ""ilegal"", ""tambang ilegal"", ""disita"", ""markup"", ""penyelewengan"", ""corruption"", ""law"", ""illegal"", ""confiscated"", ""rule of law"", ""licenses"", ""violating""]"
OC007,Reformasi birokrasi dan efisiensi negara,Tata kelola pemerintahan dan rule of law,Reformasi tata kelola dan penegakan hukum,"Mengacu pada efisiensi anggaran, penyederhanaan regulasi, dan tata kelola pemerintahan.","[""regulasi"", ""efisiensi"", ""birokrasi"", ""anggaran"", ""kabinet"", ""pemerintah"", ""efficiency"", ""efficient"", ""budget"", ""bureaucracy"", ""governance"", ""government"", ""regulations""]"
OC008,Diplomasi multilateral dan kerja sama internasional,Diplomasi dan tatanan global,"Diplomasi, perdamaian, dan keadilan global","Mengacu pada forum internasional, kerja sama multilateral, perdamaian, dan stabilitas global.","[""brics"", ""pbb"", ""united nations"", ""wef"", ""multilateral"", ""multilateralism"", ""cooperation"", ""collaboration"", ""peace"", ""stability"", ""international""]"
OC009,"Palestina, Gaza, dan keadilan global",Diplomasi dan tatanan global,"Diplomasi, perdamaian, dan keadilan global","Mengacu pada isu Palestina, Gaza, solusi dua negara, dan keadilan kemanusiaan global.","[""palestina"", ""gaza"", ""israel"", ""two state"", ""two-state"", ""genocide"", ""palestine"", ""palestinians"", ""justice"", ""humanity"", ""human family""]"
OC010,"Investasi, industrialisasi, dan pertumbuhan ekonomi",Transformasi ekonomi dan pembangunan produktif,Transformasi ekonomi dan pembangunan nasional,"Mengacu pada pertumbuhan ekonomi, investasi, Danantara, hilirisasi, dan industrialisasi.","[""investasi"", ""hilirisasi"", ""industrialisasi"", ""pertumbuhan"", ""danantara"", ""ekonomi"", ""investment"", ""industrialize"", ""industrialization"", ""growth"", ""capital"", ""downstream""]"
OC011,"Koperasi, desa, dan ekonomi akar rumput",Transformasi ekonomi dan pembangunan produktif,Transformasi ekonomi dan pembangunan nasional,"Mengacu pada koperasi, desa nelayan, gudang, cold storage, dan ekonomi lokal.","[""koperasi"", ""desa"", ""nelayan"", ""gudang"", ""cold storage"", ""pasar"", ""ekonomi bawah"", ""cooperatives"", ""village"", ""villages"", ""fishermen"", ""warehouses"", ""mini markets""]"
OC012,"Lingkungan, iklim, dan keberlanjutan",Ketahanan lingkungan dan keberlanjutan,Keberlanjutan lingkungan dan sumber daya,"Mengacu pada perubahan iklim, emisi, hutan, laut, energi terbarukan, dan keberlanjutan.","[""iklim"", ""lingkungan"", ""emisi"", ""hutan"", ""reforestasi"", ""laut"", ""sampah"", ""climate"", ""emission"", ""emissions"", ""forest"", ""reforest"", ""sea level"", ""renewables"", ""waste""]"
OC013,Persatuan nasional dan kepercayaan diri bangsa,Identitas nasional dan kepemimpinan,Kedaulatan dan kemandirian nasional,"Mengacu pada persatuan, kemandirian, nasionalisme, dan kepercayaan diri bangsa.","[""persatuan"", ""bangsa"", ""merah putih"", ""mandiri"", ""berdiri di atas kaki"", ""percaya diri"", ""unity"", ""nation"", ""national"", ""confidence"", ""sovereignty"", ""independence""]"
