bertopic_topic_id,Name,auto_topic_label,top_keywords,dominant_manual_selective_theme,dominant_theme_count,topic_document_count,topic_purity,interpretation_note
-1,-1_melindungi_ancaman_melindungi ancaman_pertumbuhan,Outlier / tidak terklaster,"melindungi, ancaman, melindungi ancaman, pertumbuhan, merdeka, who save, berani melihat, tujuan",Keberlanjutan lingkungan dan sumber daya,1,2,0.5,"Topik -1 merupakan outlier/tidak terklaster. Sebagian besar chunk pada kelompok ini terkait tema manual 'Keberlanjutan lingkungan dan sumber daya', namun perlu interpretasi hati-hati karena statusnya outlier."
0,0_bupati_hadir_menteri_hormati,bupati / hadir / menteri / hormati / wali kota,"bupati, hadir, menteri, hormati, wali kota, wali, saudari, gubernur",Kedaulatan dan kemandirian nasional,8,13,0.6154,"Topik 0 berisi 13 dokumen dan paling dominan terkait tema manual 'Kedaulatan dan kemandirian nasional' dengan purity 0.6154. Kata kunci utama: bupati, hadir, menteri, hormati, wali kota, wali, saudari, gubernur."
1,1_kampus_stability_growth_peace stability,kampus / stability / growth / peace stability / over,"kampus, stability, growth, peace stability, over, always, economy, it","Diplomasi, perdamaian, dan keadilan global",2,7,0.2857,"Topik 1 berisi 7 dokumen dan paling dominan terkait tema manual 'Diplomasi, perdamaian, dan keadilan global' dengan purity 0.2857. Kata kunci utama: kampus, stability, growth, peace stability, over, always, economy, it."
2,2_energi_menghasilkan_kesulitan_hasilkan,energi / menghasilkan / kesulitan / hasilkan / tergantung,"energi, menghasilkan, kesulitan, hasilkan, tergantung, tim, kemampuan, luar",Kedaulatan dan kemandirian nasional,4,6,0.6667,"Topik 2 berisi 6 dokumen dan paling dominan terkait tema manual 'Kedaulatan dan kemandirian nasional' dengan purity 0.6667. Kata kunci utama: energi, menghasilkan, kesulitan, hasilkan, tergantung, tim, kemampuan, luar."
3,3_000_rice_years_000 murid,000 / rice / years / 000 murid / 83,"000, rice, years, 000 murid, 83, 83 000, sasaran, villages",Kedaulatan dan kemandirian nasional,3,6,0.5,"Topik 3 berisi 6 dokumen dan paling dominan terkait tema manual 'Kedaulatan dan kemandirian nasional' dengan purity 0.5. Kata kunci utama: 000, rice, years, 000 murid, 83, 83 000, sasaran, villages."
4,4_kemerdekaan_dia_perang_mau,kemerdekaan / dia / perang / mau / enggak,"kemerdekaan, dia, perang, mau, enggak, rakyat, perang kemerdekaan, tentara",Pembangunan manusia dan keadilan sosial,3,5,0.6,"Topik 4 berisi 5 dokumen dan paling dominan terkait tema manual 'Pembangunan manusia dan keadilan sosial' dengan purity 0.6. Kata kunci utama: kemerdekaan, dia, perang, mau, enggak, rakyat, perang kemerdekaan, tentara."
5,5_swasembada_amran_harga_tokoh,swasembada / amran / harga / tokoh / kulitnya,"swasembada, amran, harga, tokoh, kulitnya, jadi, petani, anaknya",Kedaulatan dan kemandirian nasional,3,5,0.6,"Topik 5 berisi 5 dokumen dan paling dominan terkait tema manual 'Kedaulatan dan kemandirian nasional' dengan purity 0.6. Kata kunci utama: swasembada, amran, harga, tokoh, kulitnya, jadi, petani, anaknya."
6,6_anak_orang tuamu_tuamu_son,anak / orang tuamu / tuamu / son / kau,"anak, orang tuamu, tuamu, son, kau, ya, anak anak, dukungan",Pembangunan manusia dan keadilan sosial,4,4,1.0,"Topik 6 berisi 4 dokumen dan paling dominan terkait tema manual 'Pembangunan manusia dan keadilan sosial' dengan purity 1.0. Kata kunci utama: anak, orang tuamu, tuamu, son, kau, ya, anak anak, dukungan."
7,7_united nations_nations_united_peace,united nations / nations / united / peace / all,"united nations, nations, united, peace, all, together, secure, may","Diplomasi, perdamaian, dan keadilan global",4,4,1.0,"Topik 7 berisi 4 dokumen dan paling dominan terkait tema manual 'Diplomasi, perdamaian, dan keadilan global' dengan purity 1.0. Kata kunci utama: united nations, nations, united, peace, all, together, secure, may."
8,8_koperasi_meals_day_guru,koperasi / meals / day / guru / desember,"koperasi, meals, day, guru, desember, ribu, koperasi merah, panels",Pembangunan manusia dan keadilan sosial,3,4,0.75,"Topik 8 berisi 4 dokumen dan paling dominan terkait tema manual 'Pembangunan manusia dan keadilan sosial' dengan purity 0.75. Kata kunci utama: koperasi, meals, day, guru, desember, ribu, koperasi merah, panels."
9,9_brics_best_danantara_now,brics / best / danantara / now / biggest,"brics, best, danantara, now, biggest, fully support, fully, finance","Diplomasi, perdamaian, dan keadilan global",2,3,0.6667,"Topik 9 berisi 3 dokumen dan paling dominan terkait tema manual 'Diplomasi, perdamaian, dan keadilan global' dengan purity 0.6667. Kata kunci utama: brics, best, danantara, now, biggest, fully support, fully, finance."
10,10_sudah_proyek_mengerti_juta,sudah / proyek / mengerti / juta / sembilan,"sudah, proyek, mengerti, juta, sembilan, sita, singapura, siapkan",Kedaulatan dan kemandirian nasional,1,3,0.3333,"Topik 10 berisi 3 dokumen dan paling dominan terkait tema manual 'Kedaulatan dan kemandirian nasional' dengan purity 0.3333. Kata kunci utama: sudah, proyek, mengerti, juta, sembilan, sita, singapura, siapkan."
11,11_akal_berjuang_masuk akal_leader,akal / berjuang / masuk akal / leader / negara begini,"akal, berjuang, masuk akal, leader, negara begini, bagaimana negara, many them, masuk",Pembangunan manusia dan keadilan sosial,3,3,1.0,"Topik 11 berisi 3 dokumen dan paling dominan terkait tema manual 'Pembangunan manusia dan keadilan sosial' dengan purity 1.0. Kata kunci utama: akal, berjuang, masuk akal, leader, negara begini, bagaimana negara, many them, masuk."
12,12_persen_sekarang_jadi bangsa_selama,persen / sekarang / jadi bangsa / selama / petani,"persen, sekarang, jadi bangsa, selama, petani, million hectares, hectares, mampu",Keberlanjutan lingkungan dan sumber daya,1,3,0.3333,"Topik 12 berisi 3 dokumen dan paling dominan terkait tema manual 'Keberlanjutan lingkungan dan sumber daya' dengan purity 0.3333. Kata kunci utama: persen, sekarang, jadi bangsa, selama, petani, million hectares, hectares, mampu."
13,13_my_praktik_determined_markup,my / praktik / determined / markup / nature,"my, praktik, determined, markup, nature, there, one, down","Diplomasi, perdamaian, dan keadilan global",1,3,0.3333,"Topik 13 berisi 3 dokumen dan paling dominan terkait tema manual 'Diplomasi, perdamaian, dan keadilan global' dengan purity 0.3333. Kata kunci utama: my, praktik, determined, markup, nature, there, one, down."
