doc_id,speech_id,chunk_order,bertopic_topic_id,bertopic_topic_name,bertopic_topic_probability,manual_open_code_1,manual_axial_category,manual_selective_theme,text_excerpt
SPCH_006_PBB_80_CHK_006,SPCH_006_PBB_80,6,-1,-1_melindungi_ancaman_melindungi ancaman_pertumbuhan,0.0998323881563076,"Lingkungan, iklim, dan keberlanjutan",Ketahanan lingkungan dan keberlanjutan,Keberlanjutan lingkungan dan sumber daya,"We aim to achieve net zero emission by 2060 and we are very confident we can achieve net zero emission much earlier. We aim to reforest more than 12 million hectares of degraded forest, to reduce forest degradation, to empower local communities with quality green jobs for the fut..."
SPCH_004_PERESMIAN_166_SEKOLAH_CHK_006,SPCH_004_PERESMIAN_166_SEKOLAH,6,-1,-1_melindungi_ancaman_melindungi ancaman_pertumbuhan,0.0869193606954987,Pemerataan kesejahteraan dan pengentasan kemiskinan,Kesejahteraan sosial dan pemerataan pembangunan,Pembangunan manusia dan keadilan sosial,"Nah, ini teori, tapi kenyataannya menetesnya kapan sampai ke bawah? Jangan-jangan menetesnya 300 tahun, kita sudah mati semua. Ini menurut saya, tidak tepat untuk kita, untuk negara seperti kita, yang pernah dijajah, yang merdeka karena perjuangan, merdeka karena ratusan tahun pe..."
SPCH_003_PERESMIAN_INFRASTRUKTUR_ENERGI_CHK_001,SPCH_003_PERESMIAN_INFRASTRUKTUR_ENERGI,1,0,0_bupati_hadir_menteri_hormati,1.0,Kedaulatan energi dan pengelolaan sumber daya,Ketahanan nasional dan kedaulatan strategis,Kedaulatan dan kemandirian nasional,"Bismillahirrahmanirrahim. Assalamu'alaikum warahmatullahi wabarakatuh, Selamat sore, Salam sejahtera bagi kita sekalian, Syalom, Salve, Om swastiastu, Namo Buddhaya, Salam kebajikan. Yang saya hormati Menteri Energi dan Sumber Daya Mineral (ESDM) Saudara Bahlil Lahadalia, Direktu..."
SPCH_003_PERESMIAN_INFRASTRUKTUR_ENERGI_CHK_012,SPCH_003_PERESMIAN_INFRASTRUKTUR_ENERGI,12,0,0_bupati_hadir_menteri_hormati,1.0,Kedaulatan energi dan pengelolaan sumber daya,Ketahanan nasional dan kedaulatan strategis,Kedaulatan dan kemandirian nasional,"Advanced technology ini dipimpin oleh seorang insinyur pulang dari Jerman namanya B.J. Habibie. Bagian ini di Pertamina akhirnya menjadi BPPT (Badan Pengkajian dan Penerapan Teknologi). Akhirnya menjadi Nurtanio, IPTN (Industri Pesawat Terbang Nusantara), PTDI (PT Dirgantara Indo..."
SPCH_004_PERESMIAN_166_SEKOLAH_CHK_001,SPCH_004_PERESMIAN_166_SEKOLAH,1,0,0_bupati_hadir_menteri_hormati,1.0,Persatuan nasional dan kepercayaan diri bangsa,Identitas nasional dan kepemimpinan,Kedaulatan dan kemandirian nasional,"Bismillahirrahmanirrahim, Assalamu'alaikum warahmatullahi wabarakatuh, Selamat pagi oh sudah selamat siang, Salam sejahtera bagi kita sekalian, Syalom, Salve, Om swastiastu, Namo Buddhaya, Salam kebajikan. Yang saya hormati, Menteri Sosial Saudara Saifullah Yusuf sebagai penyelen..."
SPCH_005_WORLD_ECONOMIC_FORUM_CHK_001,SPCH_005_WORLD_ECONOMIC_FORUM,1,1,1_kampus_stability_growth_peace stability,1.0,Diplomasi multilateral dan kerja sama internasional,Diplomasi dan tatanan global,"Diplomasi, perdamaian, dan keadilan global","Distinguished President and CEO of the WEF, Mr. Borge Brende, Ladies and Gentlemen, Bismillahirrahmanirrahim, Assalamu'alaikum warahmatullahi wabarakatuh, Shalom, Salve, Om swastiastu. Ladies and Gentlemen, We gather here, in Davos, at a time of great uncertainty. A time when war..."
SPCH_005_WORLD_ECONOMIC_FORUM_CHK_002,SPCH_005_WORLD_ECONOMIC_FORUM,2,1,1_kampus_stability_growth_peace stability,1.0,"Investasi, industrialisasi, dan pertumbuhan ekonomi",Transformasi ekonomi dan pembangunan produktif,Transformasi ekonomi dan pembangunan nasional,"Peace and stability in my country did not happen by luck. It happened because we, Indonesia, have and will always continue to use unity over fragmentation. Friendship and collaboration over confrontation. And, always friendship over enmity. Our credibility hard earned over many y..."
SPCH_006_PBB_80_CHK_002,SPCH_006_PBB_80,2,1,1_kampus_stability_growth_peace stability,1.0,Diplomasi multilateral dan kerja sama internasional,Diplomasi dan tatanan global,"Diplomasi, perdamaian, dan keadilan global","Human folly, fueled by fear, racism, hatred, oppression, and apartheid, threatens our common future. My country knows this pain. For centuries, Indonesians lived under colonial domination, oppression, and slavery. We were treated less than dogs in our own homeland. We Indonesians..."
SPCH_003_PERESMIAN_INFRASTRUKTUR_ENERGI_CHK_004,SPCH_003_PERESMIAN_INFRASTRUKTUR_ENERGI,4,2,2_energi_menghasilkan_kesulitan_hasilkan,1.0,Kedaulatan pangan dan swasembada,Ketahanan nasional dan kedaulatan strategis,Kedaulatan dan kemandirian nasional,"Juga kemampuan kita di energi dari air dan juga, Saudara-saudara, ke depan kita juga akan mengembangkan tenaga surya dengan panel-panel kita akan elektrifikasi sehingga kita sungguh-sungguh dapat menghasilkan energi kita sendiri. Tidak perlu kita impor energi dari luar. Ini sasar..."
SPCH_003_PERESMIAN_INFRASTRUKTUR_ENERGI_CHK_006,SPCH_003_PERESMIAN_INFRASTRUKTUR_ENERGI,6,2,2_energi_menghasilkan_kesulitan_hasilkan,1.0,Persatuan nasional dan kepercayaan diri bangsa,Identitas nasional dan kepemimpinan,Kedaulatan dan kemandirian nasional,"Di setiap bidang kehidupan, kita harus menjadi bangsa yang kuat, bangsa yang percaya diri, bangsa yang mampu berdiri di atas kaki kita sendiri. Karena itu saya berbahagia, bangga. Hari ini satu langkah lagi di bidang energi kita menuju kemampuan kita untuk mandiri, kemampuan kita..."
SPCH_004_PERESMIAN_166_SEKOLAH_CHK_014,SPCH_004_PERESMIAN_166_SEKOLAH,14,2,2_energi_menghasilkan_kesulitan_hasilkan,1.0,"Kesehatan, gizi, dan perlindungan sosial",Pembangunan sumber daya manusia,Pembangunan manusia dan keadilan sosial,"Siapa berani dia menang, berani berbuat. Sebelum berbuat, berani melihat keadaan yang sebenarnya. Berani melihat kesulitan, berani menghadapi kesulitan. Jangan lari dari kesulitan, jangan menutupi kesulitan. Lihat kesulitan, hadapi, atasi. Baru kita bangkit sebagai bangsa. Terima..."
SPCH_004_PERESMIAN_166_SEKOLAH_CHK_011,SPCH_004_PERESMIAN_166_SEKOLAH,11,3,3_000_rice_years_000 murid,1.0,Kedaulatan pangan dan swasembada,Ketahanan nasional dan kedaulatan strategis,Kedaulatan dan kemandirian nasional,"Cadangan beras kita di gudang pemerintah hari ini, tertinggi selama sejarah Republik Indonesia, Saudara-saudara, dan kita akan terus memperkuat, terus memperkuat. Sebentar lagi, kita swasembada jagung untuk pakan para petani dan peternak. Habis itu, kita akan swasembada di bidang..."
SPCH_005_WORLD_ECONOMIC_FORUM_CHK_014,SPCH_005_WORLD_ECONOMIC_FORUM,14,3,3_000_rice_years_000 murid,1.0,Kedaulatan pangan dan swasembada,Ketahanan nasional dan kedaulatan strategis,Kedaulatan dan kemandirian nasional,"Many of them do not have bathrooms, [and] many of them eat rice with salt. And yet, they smile. And yet, they have hope. We also achieved sufficiency in rice, the first time in many, many years, our rice production is the highest in the history of Indonesia. I gave a target to be..."
SPCH_006_PBB_80_CHK_005,SPCH_006_PBB_80,5,3,3_000_rice_years_000 murid,1.0,Kedaulatan pangan dan swasembada,Ketahanan nasional dan kedaulatan strategis,Kedaulatan dan kemandirian nasional,"We choose to answer these challenges directly at home and to help abroad whenever we can. This year, Indonesia recorded the highest rice production and grain reserves in our history. We are now self‐sufficient in rice and we are starting now to export rice to other nations in nee..."
SPCH_002_PANEN_RAYA_CHK_006,SPCH_002_PANEN_RAYA,6,4,4_kemerdekaan_dia_perang_mau,1.0,"Koperasi, desa, dan ekonomi akar rumput",Transformasi ekonomi dan pembangunan produktif,Transformasi ekonomi dan pembangunan nasional,"Karena itu, saya berjuang terus, saya dituduh mau jadi diktator, saya dituduh mau berkuasa, saya dituduh mau kudeta, tetapi saya sejak muda saya bersumpah sebagai prajurit adalah prajurit dari Tentara Nasional Indonesia, TNI adalah tentara rakyat, TNI lahir rakyat, waktu kita ber..."
